id,timestamp,sensor_dir,sensorvalue_x,sensorvalue_y,sensorvalue_z
98,2025-11-26 12:45:53,0,1454,1842,1485
97,2025-11-26 12:45:53,0,1455,1844,1482
96,2025-11-26 12:45:53,0,1451,1843,1473
95,2025-11-26 12:45:53,0,1455,1839,1474
94,2025-11-26 12:45:53,0,1462,1833,1477
93,2025-11-26 12:45:53,0,1456,1836,1474
92,2025-11-26 12:45:53,0,1456,1832,1483
91,2025-11-26 12:45:53,0,1458,1831,1485
90,2025-11-26 12:45:53,0,1458,1830,1487
89,2025-11-26 12:45:53,0,1458,1840,1485
88,2025-11-26 12:45:53,0,1460,1842,1491
87,2025-11-26 12:45:53,0,1458,1845,1494
86,2025-11-26 12:45:53,0,1460,1846,1493
85,2025-11-26 12:45:53,0,1464,1848,1487
84,2025-11-26 12:45:53,0,1458,1848,1488
83,2025-11-26 12:45:53,0,1457,1852,1485
82,2025-11-26 12:45:53,0,1454,1842,1483
81,2025-11-26 12:45:53,0,1451,1847,1478
80,2025-11-26 12:45:53,0,1458,1848,1468
79,2025-11-26 12:45:53,0,1455,1843,1471
78,2025-11-26 12:45:53,0,1458,1842,1476
77,2025-11-26 12:45:53,0,1454,1838,1473
76,2025-11-26 12:45:53,0,1464,1829,1479
75,2025-11-26 12:45:53,0,1462,1835,1489
74,2025-11-26 12:45:53,0,1460,1835,1489
73,2025-11-26 12:45:52,0,1463,1835,1494
72,2025-11-26 12:45:52,0,1458,1834,1499
